guest,segment,start_hms,end_hms,duration_s,start_sec,end_sec
王濛,1,00:00:25.1,00:00:30.1,5.0,25.12,30.08
李心洁,1,00:01:11.7,00:01:14.4,2.7,71.68,74.4
阚清子,1,00:01:12.6,00:01:13.6,1.0,72.64,73.6
阚清子,2,00:01:16.5,00:01:23.0,6.6,76.48,83.04
安崎,1,00:01:25.8,00:01:28.5,2.7,85.76,88.48
范玮琪,1,00:01:25.8,00:01:28.5,2.7,85.76,88.48
徐梦洁,1,00:01:28.5,00:01:30.6,2.1,88.48,90.56
江语晨,1,00:01:29.1,00:01:30.6,1.4,89.12,90.56
代斯,1,00:01:34.4,00:01:42.6,8.2,94.4,102.56
孙怡,1,00:01:34.4,00:01:42.6,8.2,94.4,102.56
徐洁儿,1,00:01:34.4,00:01:42.6,8.2,94.4,102.56
萧蔷,1,00:01:34.4,00:01:42.6,8.2,94.4,102.56
唐艺昕,1,00:01:44.6,00:01:45.1,0.5,104.64,105.12
唐艺昕,2,00:01:46.6,00:01:48.3,1.8,106.56,108.32
徐梦洁,2,00:01:46.6,00:01:48.3,1.8,106.56,108.32
曾佩慈,1,00:01:46.6,00:01:48.3,1.8,106.56,108.32
李小冉,1,00:01:46.6,00:01:48.3,1.8,106.56,108.32
江语晨,2,00:01:46.6,00:01:48.3,1.8,106.56,108.32
淡淡,1,00:01:46.6,00:01:48.3,1.8,106.56,108.32
王濛,2,00:01:46.6,00:01:48.3,1.8,106.56,108.32
庄法,1,00:01:46.9,00:01:47.0,0.2,106.88,107.04
庄法,2,00:01:47.2,00:01:47.4,0.2,107.2,107.36
庄法,3,00:01:47.7,00:01:47.8,0.2,107.68,107.84
庄法,4,00:01:48.0,00:01:48.3,0.3,108.0,108.32
叶一茜,1,00:01:48.3,00:01:50.9,2.6,108.32,110.88
陈瑶,1,00:01:53.3,00:01:55.4,2.1,113.28,115.36
曾佩慈,2,00:01:55.4,00:01:57.1,1.8,115.36,117.12
徐洁儿,2,00:02:07.8,00:02:10.4,2.6,127.84,130.4
张月,1,00:02:10.4,00:02:12.5,2.1,130.4,132.48
陈凯琳,1,00:02:10.4,00:02:12.5,2.1,130.4,132.48
徐洁儿,3,00:02:49.3,00:02:51.8,2.6,169.28,171.84
万千惠,1,00:02:51.8,00:02:54.1,2.2,171.84,174.08
乌兰图雅,1,00:02:51.8,00:02:54.1,2.2,171.84,174.08
安崎,2,00:02:51.8,00:02:54.1,2.2,171.84,174.08
张月,2,00:02:51.8,00:02:54.1,2.2,171.84,174.08
陈凯琳,2,00:02:51.8,00:02:54.1,2.2,171.84,174.08
陈瑶,2,00:02:51.8,00:02:54.1,2.2,171.84,174.08
黄灿灿,1,00:02:51.8,00:02:54.1,2.2,171.84,174.08
唐艺昕,3,00:03:00.3,00:03:03.4,3.0,180.32,183.36
庄法,5,00:03:00.3,00:03:03.4,3.0,180.32,183.36
徐梦洁,3,00:03:00.3,00:03:03.4,3.0,180.32,183.36
曾佩慈,3,00:03:00.3,00:03:03.4,3.0,180.32,183.36
李小冉,2,00:03:00.3,00:03:03.4,3.0,180.32,183.36
江语晨,3,00:03:00.3,00:03:03.4,3.0,180.32,183.36
淡淡,2,00:03:00.3,00:03:03.4,3.0,180.32,183.36
王濛,3,00:03:00.3,00:03:03.4,3.0,180.32,183.36
温峥嵘,1,00:03:03.4,00:03:06.2,2.9,183.36,186.24
萧蔷,2,00:03:03.4,00:03:06.2,2.9,183.36,186.24
徐洁儿,4,00:03:15.0,00:03:17.1,2.1,195.04,197.12
唐艺昕,4,00:03:17.1,00:03:23.7,6.6,197.12,203.68
庄法,6,00:03:17.1,00:03:18.4,1.3,197.12,198.4
徐梦洁,4,00:03:17.1,00:03:20.0,2.9,197.12,200.0
曾佩慈,4,00:03:17.1,00:03:23.7,6.6,197.12,203.68
