guest,ep801,total_seconds,total_minutes
万千惠,350.4,350.4,5.84
乌兰图雅,505.0,505.0,8.42
代斯,175.2,175.2,2.92
何宣林,255.4,255.4,4.26
叶一茜,332.5,332.5,5.54
唐艺昕,820.3,820.3,13.67
孙怡,403.4,403.4,6.72
安崎,829.3,829.3,13.82
庄法,268.8,268.8,4.48
张慧雯,241.8,241.8,4.03
张月,985.9,985.9,16.43
徐梦洁,419.2,419.2,6.99
徐洁儿,530.9,530.9,8.85
曾佩慈,819.7,819.7,13.66
李小冉,452.0,452.0,7.53
李心洁,491.4,491.4,8.19
江语晨,213.3,213.3,3.56
淡淡,441.4,441.4,7.36
温峥嵘,238.2,238.2,3.97
王濛,876.2,876.2,14.6
范玮琪,228.8,228.8,3.81
萧蔷,421.8,421.8,7.03
谢楠,383.7,383.7,6.39
阚清子,332.2,332.2,5.54
陈凯琳,301.0,301.0,5.02
陈瑶,437.4,437.4,7.29
黄灿灿,311.2,311.2,5.19
